name,category,address,rating,phone,blog_reviews,visitor_reviews,menus,hours,facilites,error
장원순대국,"순대,순댓국",서울 강서구 양천로 27-3,,02-665-3829,50.0,546.0,"곱창전골 2인이상, 순대곱창볶음 2인이상, 순대국, 모듬순대",,,
피자페이스오프 본점,피자,서울 용산구 한강대로 126-4 2층,,0507-1346-5529,1288.0,5387.0,"페이스오프(R), 몬스터 BBQ 피자(R), 레드몬스터bbq, 더블 치즈 피자(R)","토: 11:30 - 22:00
21:00 라스트오더, 일: 11:30 - 22:00
21:00 라스트오더, 월: 정기휴무 (매주 월요일), 화: 11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더, 수: 11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더, 목: 11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더, 금(10/3): 개천절11:30 - 22:00","단체 이용 가능, 포장, 예약, 남/녀 화장실 구분",
반햇닭,"치킨,닭강정",서울 도봉구 도봉로110나길 27,"별점
4.33",02-991-1180,6.0,386.0,"치킨1마리, 치킨2마리, 날개 10개, 봉 10개","토: 12:00 - 24:00
23:30 라스트오더, 일: 정기휴무 (매주 일요일), 월: 12:00 - 24:00
23:30 라스트오더, 화: 12:00 - 24:00
23:30 라스트오더, 수: 12:00 - 24:00
23:30 라스트오더, 목: 12:00 - 24:00
23:30 라스트오더, 금: 12:00 - 24:00
23:30 라스트오더","포장, 남/녀 화장실 구분",
행운,중식당,서울 관악구 성현로 80 8호,,0507-1326-8292,20.0,295.0,짜장면,매일: 09:00 - 21:00,,
신당포,요리주점,서울 중구 다산로46길 36 1층,,02-6952-8814,90.0,377.0,"와인숙성 크림 통닭, 와인숙성 로제 통닭, 와인숙성 오리지널 통닭, 애플망고막걸리","토: 17:00 - 02:00
01:00 라스트오더, 일: 17:00 - 01:00
00:00 라스트오더, 월: 17:00 - 01:00
00:00 라스트오더, 화: 17:00 - 01:00
00:00 라스트오더, 수: 17:00 - 01:00
00:00 라스트오더, 목: 17:00 - 01:00
00:00 라스트오더, 금: 17:00 - 02:00
01:00 라스트오더","단체 이용 가능, 포장, 예약, 무선 인터넷, 반려동물 동반, 간편결제, 주차",
플러스,바(BAR),"경기 수원시 권선구 호매실로90번길 101 1층 111호, 112호",,0507-1362-4257,7.0,42.0,"모듬플래터, 오늘의위스키한잔, 브리치즈, 치즈샘플러","토(9/27): 휴무, 일: 정기휴무 (매주 일요일), 월: 20:00 - 02:00, 화: 20:00 - 02:00, 수: 20:00 - 02:00, 목: 20:00 - 02:00, 금: 20:00 - 04:00","단체 이용 가능, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분, 주차",
브롱스 창동점,"맥주,호프",서울 도봉구 마들로11가길 15 107호,"별점
4.54",070-4152-4725,77.0,168.0,"아이피에이(IPA), 아메리칸 라거 프레쉬, 호피라거(Hoppy Lager), 순수에일(순수Ale)","토: 17:30 - 01:00, 일: 정기휴무 (매주 일요일), 월: 17:30 - 01:00, 화: 17:30 - 01:00, 수: 17:30 - 01:00, 목: 17:30 - 01:00, 금: 17:30 - 01:00","예약, 단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분",
뚱이네호프,한식,서울 도봉구 노해로69길 15-15,,02-903-9294,2.0,13.0,,,,
경원식당 본점,"찌개,전골",경기 의정부시 둔야로49번길 21,"별점
4.44",0507-1420-5464,1043.0,2671.0,"부대찌개, 김치찌개","토: 10:00 - 21:00
20:30 라스트오더, 일: 10:00 - 21:00
20:30 라스트오더, 월: 10:00 - 21:00
16:00 - 17:00 브레이크타임
20:30 라스트오더, 화: 정기휴무 (매주 화요일), 수: 10:00 - 21:00
16:00 - 17:00 브레이크타임
20:30 라스트오더, 목: 10:00 - 21:00
16:00 - 17:00 브레이크타임
20:30 라스트오더, 금: 10:00 - 21:00
16:00 - 17:00 브레이크타임
20:30 라스트오더","예약, 주차, 남/녀 화장실 구분",
압구정찌개마을 배봉점,"찌개,전골",서울 동대문구 사가정로 218,,02-2244-3768,36.0,372.0,"돼지고기김치찌개(2인용), 돼지고기김치찌개(3인용), 돼지고기김치찌개(4인용), 참치김치찌개(2인용)","토: 00:00 - 24:00, 일: 00:00 - 24:00, 월: 00:00 - 24:00, 화: 00:00 - 22:00, 수: 09:00 - 24:00, 목: 00:00 - 24:00, 금: 00:00 - 24:00",,
동해세수대야동태탕 창동점,"매운탕,해물탕",서울 도봉구 해등로 133-8 도봉구 해등로 133-8,,0507-1340-8266,11.0,253.0,"동태탕/맑은탕(지리), 코다리조림(소), 대구탕/맑은탕(지리), 동태세트 중(3~4인분)","토: 정기휴무 (매주 토요일), 일: 12:00 - 17:00
16:20 라스트오더, 월: 11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더, 화: 11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더, 수: 11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더, 목: 11:30 - 21:00
15:00 - 17:00 브레이크타임
20:20 라스트오더, 금(10/3): 개천절11:30 - 17:00","포장, 배달, 예약, 단체 이용 가능, 무선 인터넷",
중앙호프,"치킨,닭강정",서울 종로구 돈화문로 59-1,,02-764-3526,9.0,76.0,"번데기탕, 계란말이, 후라이드치킨, 양념치킨",매일: 18:00 - 24:00,,
창동삼합,한식,서울 도봉구 도봉로110아길 17,,,2.0,1.0,,,,
뚱보냉면,냉면,서울 도봉구 도봉로110길 51 뚱보냉면 2,,02-990-8063,218.0,1465.0,"만두육개장(보통), 만두육개장(곱빼기), 손떡만두국(김치만두)(보통), 손떡만두국(김치만두)(곱빼기)",매일: 10:00 - 21:00,"배달, 포장, 남/녀 화장실 구분, 단체 이용 가능, 무선 인터넷, 예약, 유아의자, 주차",
영자네곱창 중곡,"곱창,막창,양",서울 광진구 면목로 172 1층,,0507-1418-0309,174.0,409.0,"야채곱창, 소금구이막창, 알곱창(당면없이 곱창많이), 양념막창",매일: 16:00 - 24:00,"포장, 예약, 단체 이용 가능, 무선 인터넷, 반려동물 동반, 주차",
가장맛있는족발 하남미사점,"족발,보쌈",경기 하남시 미사강변북로30번길 154 1층,,0507-1345-5844,13.0,107.0,"족발, 반반족발(족발+불족), 가족의 족보(족발+보쌈), 쟁반국수","토: 12:00 - 24:00
23:00 라스트오더, 일: 12:00 - 24:00
23:00 라스트오더, 월: 16:00 - 24:00
23:00 라스트오더, 화: 정기휴무 (매주 화요일), 수: 16:00 - 24:00
23:00 라스트오더, 목: 16:00 - 24:00
23:00 라스트오더, 금: 16:00 - 24:00
23:00 라스트오더","단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 유아의자",
1953연남서서갈비 미사직영점,소고기구이,경기 하남시 미사강변북로30번길 46 1층 1953연남서서갈비 미사직영점,,0507-1335-1953,467.0,2042.0,"양념 소갈비 [뼈무게제외 200g], 매운 소갈비 [뼈무게제외 200g], 생갈비 250g, 꽃갈비살 150g","토: 12:30 - 22:30
21:20 라스트오더, 일: 12:30 - 22:30
21:20 라스트오더, 월: 17:00 - 22:30
21:20 라스트오더, 화: 17:00 - 22:30
21:20 라스트오더, 수: 17:00 - 22:30
21:20 라스트오더, 목: 17:00 - 22:30
21:20 라스트오더, 금: 17:00 - 22:30
21:20 라스트오더","예약, 무선 인터넷, 단체 이용 가능, 포장, 유아의자, 주차",
훈이네감자탕,감자탕,서울 도봉구 도봉로 492,,02-992-5622,20.0,473.0,"반계탕, 감자탕 (중), 매운묵은지뼈찜 (중), 닭볶음탕",,,
강가네 마포숯불갈비,"육류,고기요리",서울 도봉구 덕릉로 246-3,,02-997-5555,6.0,205.0,"암돼지왕갈비, 매운왕갈비, 생삼겹살, 물/비빔냉면","토: 11:00 - 22:00
15:30 - 16:30 브레이크타임, 일: 11:00 - 22:00
15:30 - 16:30 브레이크타임, 월: 11:00 - 22:00
15:30 - 16:30 브레이크타임, 화: 11:00 - 22:00
15:30 - 16:30 브레이크타임, 수: 정기휴무 (매주 수요일), 목: 11:00 - 22:00
15:30 - 16:30 브레이크타임, 금: 11:00 - 22:00
15:30 - 16:30 브레이크타임","단체 이용 가능, 포장, 예약",
감나무집기사식당,기사식당,서울 마포구 연남로 25,,02-325-8727,2401.0,4676.0,"돼지불고기, 두부찌게, 닭볶음탕, 고등어김치조림","토: 00:00 - 24:00, 일: 00:00 - 24:00, 월: 00:00 - 24:00, 화: 00:00 - 24:00, 수: 00:00 - 24:00, 목: 00:00 - 24:00, 금: 00:00 - 24:00",주차,
주의화원,"꽃집,꽃배달",경기 하남시 미사강변중앙로 180,,0507-1393-9775,1.0,2.0,,"토: 10:00 - 22:00, 일: 10:00 - 22:00, 월: 10:00 - 22:00, 화: 10:00 - 22:00, 수: 10:00 - 22:00, 목: 10:00 - 22:00, 금(10/3): 개천절 휴무","포장, 예약, 배달, 주차",
부드럽소 안산고잔본점,소고기구이,경기 안산시 단원구 광덕서로 78 대한법조,,0507-1333-2929,4688.0,3088.0,"부드럽소한판 400g <대표메뉴>, 돼지고기한판 450g, 한우명품보물상자 500g <신메뉴>, 눈꽃대첩1.1kg <인기메뉴>","매일: 10:30 - 24:00
23:55 라스트오더",주차,
제일식당,"순대,순댓국",경기 용인시 처인구 백암면 백암로201번길 11,"별점
4.34",031-332-4608,1318.0,2694.0,"모듬, 백암순대, 머릿고기, 오소리감투","토: 06:00 - 21:00
20:00 라스트오더, 일: 06:00 - 21:00
20:00 라스트오더, 월: 06:00 - 21:00
20:00 라스트오더, 화: 06:00 - 21:00
20:00 라스트오더, 수: 정기휴무 (매주 수요일), 목: 06:00 - 21:00
20:00 라스트오더, 금(10/3): 개천절06:00 - 20:00",주차,
만랩커피 창동역점,카페,서울 도봉구 노해로63길 82 1층,"별점
4.38",0507-1359-1003,27.0,657.0,"갈릭 허니 브레드 set, 크로크무슈 set, 말차 플랫(Small size)(ICE ONLY)",매일: 10:00 - 22:00,,
목구멍 신림점,"육류,고기요리",서울 관악구 신림로59길 15-10 1층,,0507-1429-5017,428.0,849.0,"미박삼겹살, 특목살, 갈비본살, 도가니된장","토: 16:00 - 24:00, 일: 16:00 - 24:00, 월: 16:00 - 24:00, 화: 16:00 - 24:00, 수: 16:00 - 24:00, 목: 16:00 - 24:00, 금: 16:00 - 24:00","예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 유아의자",
해로,요리주점,서울 도봉구 도봉로110나길 11 1층,,02-6954-0007,12.0,211.0,"대하 소금구이(中or大), 대하 생새우회(6~8미), 해로해물[특][BEST], 제주도산 딱새우 한판[BEST]","토: 17:30 - 02:00
01:20 라스트오더, 일: 17:30 - 02:00
01:20 라스트오더, 월: 정기휴무 (매주 월요일), 화: 17:30 - 02:00
01:20 라스트오더, 수: 17:30 - 02:00
01:20 라스트오더, 목: 17:30 - 02:00
01:20 라스트오더, 금(10/3): 개천절17:30 - 02:00","무선 인터넷, 예약",
,,,,,,,,,,검색 결과 없음
